Date,Parking
8/29/2016,86
8/29/2016,87
8/29/2016,87
8/29/2016,86
8/29/2016,86
8/29/2016,87
8/29/2016,94
8/29/2016,114
8/29/2016,149
8/29/2016,164
8/29/2016,174
8/29/2016,183
8/29/2016,191
8/29/2016,189
8/29/2016,184
8/29/2016,180
8/29/2016,172
8/29/2016,145
8/29/2016,128
8/29/2016,120
8/29/2016,115
8/29/2016,102
8/29/2016,97
8/29/2016,96
8/30/2016,96
8/30/2016,96
8/30/2016,95
8/30/2016,95
8/30/2016,95
8/30/2016,94
8/30/2016,96
8/30/2016,121
8/30/2016,159
8/30/2016,177
8/30/2016,187
8/30/2016,191
8/30/2016,197
8/30/2016,195
8/30/2016,191
8/30/2016,190
8/30/2016,180
8/30/2016,153
8/30/2016,136
8/30/2016,128
8/30/2016,113
8/30/2016,101
8/30/2016,102
8/30/2016,100
8/31/2016,101
8/31/2016,99
8/31/2016,99
8/31/2016,98
8/31/2016,98
8/31/2016,98
8/31/2016,104
8/31/2016,129
8/31/2016,165
8/31/2016,177
8/31/2016,177
8/31/2016,180
8/31/2016,189
8/31/2016,191
8/31/2016,187
8/31/2016,185
8/31/2016,178
8/31/2016,152
8/31/2016,137
8/31/2016,138
8/31/2016,138
8/31/2016,138
8/31/2016,138
8/31/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,138
9/1/2016,141
9/1/2016,140
9/1/2016,124
9/1/2016,120
9/1/2016,120
9/2/2016,120
9/2/2016,120
9/2/2016,119
9/2/2016,119
9/2/2016,119
9/2/2016,119
9/2/2016,121
9/2/2016,127
9/2/2016,157
9/2/2016,175
9/2/2016,179
9/2/2016,188
9/2/2016,181
9/2/2016,189
9/2/2016,188
9/2/2016,177
9/2/2016,161
9/2/2016,140
9/2/2016,125
9/2/2016,117
9/2/2016,116
9/2/2016,99
9/2/2016,98
9/2/2016,94
9/3/2016,96
9/3/2016,96
9/3/2016,96
9/3/2016,96
9/3/2016,96
9/3/2016,95
9/3/2016,119
9/3/2016,120
9/3/2016,119
9/3/2016,133
9/3/2016,128
9/3/2016,122
9/3/2016,121
9/3/2016,127
9/3/2016,131
9/3/2016,131
9/3/2016,125
9/3/2016,124
9/3/2016,117
9/3/2016,119
9/3/2016,118
9/3/2016,117
9/3/2016,116
9/3/2016,118
9/4/2016,119
9/4/2016,119
9/4/2016,119
9/4/2016,119
9/4/2016,119
9/4/2016,120
9/4/2016,123
9/4/2016,124
9/4/2016,124
9/4/2016,126
9/4/2016,121
9/4/2016,123
9/4/2016,122
9/4/2016,127
9/4/2016,125
9/4/2016,122
9/4/2016,115
9/4/2016,113
9/4/2016,91
9/4/2016,94
9/4/2016,94
9/4/2016,93
9/4/2016,92
9/4/2016,94
9/5/2016,96
9/5/2016,96
9/5/2016,96
9/5/2016,96
9/5/2016,95
9/5/2016,95
9/5/2016,102
9/5/2016,120
9/5/2016,158
9/5/2016,178
9/5/2016,190
9/5/2016,190
9/5/2016,192
9/5/2016,192
9/5/2016,200
9/5/2016,196
9/5/2016,180
9/5/2016,144
9/5/2016,114
9/5/2016,114
9/5/2016,110
9/5/2016,102
9/5/2016,102
9/5/2016,102
9/6/2016,102
9/6/2016,102
9/6/2016,102
9/6/2016,102
9/6/2016,102
9/6/2016,102
9/6/2016,106
9/6/2016,127
9/6/2016,158
9/6/2016,174
9/6/2016,190
9/6/2016,195
9/6/2016,194
9/6/2016,199
9/6/2016,203
9/6/2016,191
9/6/2016,179
9/6/2016,146
9/6/2016,122
9/6/2016,113
9/6/2016,109
9/6/2016,105
9/6/2016,103
9/6/2016,104
9/7/2016,104
9/7/2016,103
9/7/2016,103
9/7/2016,103
9/7/2016,103
